PID,YearBuilt,YearRemodel,VeneerExterior,BsmtFinTp,BsmtFinSqft,BsmtUnfinSqft,HeatingQC,FstFlrSqft,SecFlrSqft,AbvGrndLiving,FullBathBsmt,HalfBathHouse,FullBathHouse,BdrmAbvGrnd,RmAbvGrnd,Fireplaces,GarageTp,GarageCars,GarageArea,WdDckSqft,OpenPrchSqft,SalePrice,LotArea,LotShape,BldgTp,OverallQuality,OverallCondition
528120090,2009,2010,256,0,0,1544,3,1544,0,1544,0,0,2,3,7,0,3,3,868,0,35,290941,12883,0,1,8,5
528120100,2005,2005,226,1,1201,340,3,1541,0,1541,0,0,2,3,7,1,3,2,532,0,70,220000,12182,1,1,7,5
528120120,2005,2005,615,1,110,1588,3,1698,0,1698,0,0,2,3,7,1,3,3,730,192,74,275000,11520,1,1,9,5
528138020,2005,2006,240,1,28,1794,3,1822,0,1822,0,0,2,3,8,1,3,3,678,0,119,259000,14122,0,1,8,5
528138060,2004,2004,168,1,2,1515,3,1535,0,1535,0,0,2,3,7,0,3,2,532,0,0,214000,10171,0,1,7,5
528175010,2009,2010,128,1,733,625,3,1358,0,1358,1,0,2,2,6,1,3,2,484,192,35,224000,6371,0,0,7,5
528176070,2002,2002,232,1,578,1093,3,1687,563,2250,1,1,2,3,7,1,3,3,756,238,130,320000,13650,1,1,8,5
528181050,2006,2006,178,1,24,1346,3,1370,0,1370,0,0,2,2,6,1,3,2,484,120,49,205000,7132,0,0,8,5
528188120,2003,2003,106,0,0,764,3,764,862,1626,0,1,2,2,6,0,2,2,474,0,27,175500,2628,1,0,7,5
528218150,2005,2005,0,0,0,1324,3,1324,0,1324,0,0,2,3,6,0,3,2,430,36,23,199500,18494,0,1,6,5
528228285,2006,2006,14,1,16,1129,3,1145,0,1145,0,0,2,2,6,0,3,2,437,100,116,160000,3203,1,0,7,5
528228440,2004,2005,16,1,24,1232,3,1269,0,1269,0,0,2,2,6,1,3,2,430,146,20,192000,3182,1,0,8,5
528231020,2004,2004,0,1,326,58,3,744,630,1374,1,1,2,3,7,1,2,2,400,100,0,184500,13300,0,1,7,5
528240130,2004,2004,0,0,0,847,3,847,886,1733,0,1,2,3,7,1,2,2,433,144,48,185088,8577,0,1,7,5
528250100,2000,2000,0,1,250,134,3,774,656,1430,0,1,2,3,7,1,2,2,400,180,0,180000,7750,0,1,7,5
528292020,2001,2001,180,0,0,884,3,884,1151,2035,0,1,2,3,8,1,2,2,434,144,48,222500,9505,0,1,7,5
528328100,1999,1999,165,0,0,1393,3,1422,1177,2599,0,1,2,4,10,1,2,3,779,668,30,333168,14774,0,1,9,5
528344070,1998,1998,114,0,0,1629,3,1645,830,2475,0,1,2,4,7,1,3,3,962,23,172,355000,17433,0,1,8,5
528358010,1996,1996,338,1,919,801,3,1720,0,1720,1,0,2,3,7,1,3,2,527,240,56,260400,10593,0,1,7,5
528363130,1994,1995,362,1,1032,431,3,1500,1122,2622,1,1,2,3,9,2,3,2,712,186,32,325000,12256,0,1,8,5
528382020,1999,2007,348,1,524,628,3,1164,1106,2270,0,1,2,4,9,1,3,3,671,132,57,290000,11764,0,1,8,7
528382030,1998,1998,30,0,0,1195,2,1195,644,1839,0,1,2,4,7,0,3,2,486,0,81,221000,16770,0,1,7,5
528386040,1995,1996,579,1,816,1217,3,2053,1185,3238,1,1,2,4,9,1,3,3,666,283,86,410000,14720,0,1,8,5
528458110,2008,2008,36,1,1078,488,3,1566,0,1566,1,0,2,3,7,0,3,2,750,144,168,262500,9000,1,1,8,5
528477080,2004,2005,0,1,222,769,3,991,956,1947,0,1,2,3,8,1,3,2,678,0,136,254900,12552,1,1,7,5
528480090,2005,2005,0,1,1414,54,3,1468,0,1468,1,0,2,2,6,1,3,2,528,0,102,271500,10440,1,1,6,5
531367050,2004,2004,0,1,656,300,3,956,1128,2084,1,1,2,4,8,0,2,2,618,0,45,233000,10142,0,1,7,5
531369060,2004,2004,122,0,0,831,3,831,828,1659,0,1,2,3,8,0,3,2,484,144,68,181000,11920,1,1,7,5
531380080,1994,2002,0,1,695,253,3,1222,888,2110,1,1,2,3,8,2,3,2,463,0,130,205000,8880,0,1,7,5
531451110,1980,1980,0,1,543,261,1,923,0,923,0,0,2,2,5,1,3,1,264,80,0,143000,8012,1,0,6,5
531451280,1992,1992,0,0,0,1055,3,1055,790,1845,0,1,2,3,8,1,3,2,462,635,104,189000,11218,1,1,6,5
531452020,1979,1979,0,0,0,918,1,918,0,918,0,0,2,2,5,1,3,1,264,28,0,99500,7892,1,0,6,5
531452050,1984,1984,0,1,623,0,1,752,0,752,1,0,1,2,4,0,3,1,264,353,0,125000,7175,1,0,6,5
531452180,1993,2003,0,1,402,594,3,1014,730,1744,0,1,2,3,7,0,3,2,457,370,70,194500,9453,0,1,7,7
531453010,1984,1985,0,1,338,702,1,1097,0,1097,0,0,2,3,6,0,3,2,480,0,0,152000,9672,1,1,6,5
531453040,1980,1981,130,0,0,650,1,888,676,1564,0,1,2,3,7,1,3,2,476,0,50,171000,8400,1,1,6,6
531477050,1920,1950,0,0,0,816,1,1012,0,1012,0,0,1,2,5,0,1,1,429,121,0,67500,9800,1,1,5,5
532354090,1961,1995,0,1,899,210,1,1155,0,1155,1,0,1,3,6,0,1,2,576,192,0,148000,11782,0,1,5,7
532376160,1965,2009,0,1,553,224,3,894,0,894,1,0,1,3,5,1,1,1,336,416,144,138500,8450,1,1,5,8
532377060,1967,1967,31,1,450,432,1,900,0,900,0,0,1,3,5,0,1,1,280,0,0,122000,9819,0,1,5,5
532377100,1963,1963,0,1,824,216,0,1040,0,1040,1,1,1,3,5,0,3,1,308,0,0,133000,7500,1,1,5,5
532378110,1962,2010,0,1,659,381,3,1040,0,1040,1,1,1,3,6,0,1,1,260,0,104,127000,6897,0,1,5,8
532479070,1974,2002,250,1,126,223,3,1494,0,1494,1,0,2,3,7,2,3,2,461,296,0,169000,15410,0,1,6,6
533130020,1992,1992,0,1,674,76,3,1061,862,1923,1,1,2,3,8,1,3,2,564,240,39,190000,10186,0,1,7,5
533130130,1993,1993,504,1,250,0,3,1251,1098,2349,1,1,2,4,9,1,3,3,762,32,130,362500,13143,0,1,8,5
533130160,1992,1993,180,1,1129,261,3,1402,823,2225,1,1,2,4,7,1,3,3,713,198,30,285000,11134,1,1,8,5
533205060,2004,2005,0,1,1298,190,3,1488,0,1488,1,0,2,2,6,1,3,2,506,168,50,260000,4835,0,0,7,5
533208090,2004,2004,0,0,0,840,3,840,840,1680,0,1,2,2,3,0,3,2,588,0,111,190000,3515,1,0,7,5
533210060,2004,2004,120,1,280,320,3,600,600,1200,0,1,2,2,4,0,1,2,480,0,172,155000,3215,1,0,7,5
533212010,2004,2005,0,0,0,600,3,600,600,1200,0,1,2,2,4,0,1,2,480,0,172,151000,3182,1,0,7,5
533212020,2004,2005,0,1,368,190,3,600,600,1200,1,1,2,2,4,0,1,2,480,0,172,149500,2544,1,0,7,5
533212060,2005,2005,216,1,376,224,3,600,636,1236,1,1,2,2,4,0,1,2,480,0,166,152000,2544,1,0,6,5
533221090,2000,2000,216,1,378,378,3,769,804,1573,0,1,2,3,5,0,1,2,440,0,32,177500,2117,1,0,6,5
533221110,2000,2000,1159,1,466,290,3,756,756,1512,1,1,2,2,5,0,1,2,440,0,32,177000,2980,1,0,6,5
533223020,1999,1999,0,1,604,92,3,696,720,1416,1,1,2,3,6,0,1,2,484,0,44,155000,2572,1,0,7,5
533223100,2003,2003,0,1,244,286,3,530,550,1080,0,1,2,2,4,0,3,2,496,0,50,147110,2403,0,0,7,5
533238045,2010,2010,0,1,1032,610,3,1418,0,1418,1,1,1,1,6,1,3,3,852,160,192,267916,12853,0,1,8,5
533244030,2000,2000,0,1,484,491,3,975,873,1848,1,1,2,3,7,1,3,2,592,280,184,254000,7379,0,1,8,5
533253060,1980,1980,0,1,728,0,1,788,0,788,1,0,1,1,3,1,1,2,484,133,42,155000,4420,0,0,8,5
533253210,1978,1978,0,1,1052,174,1,1226,0,1226,1,0,1,1,4,1,3,2,484,223,78,206000,3880,0,0,8,6
533352170,1976,2005,289,1,533,192,3,725,754,1479,0,1,2,3,6,0,3,2,475,0,44,130500,13517,0,1,6,8
534102025,2002,2002,0,1,833,659,3,1492,0,1492,1,0,2,3,6,1,3,2,596,277,137,230000,8000,1,1,7,5
534129040,1967,1967,120,1,506,1323,2,1829,0,1829,1,0,2,4,8,0,3,2,535,0,76,218500,10456,0,1,6,6
534151175,1993,1993,0,1,1137,143,3,1280,1215,2495,1,1,2,4,9,1,3,2,660,224,32,243500,10791,1,1,6,5
534152050,1977,2001,28,1,1200,410,2,1610,0,1610,1,0,2,3,6,2,3,2,480,168,68,205000,10603,0,1,6,7
534152100,1988,1988,42,1,394,586,1,980,734,1714,0,1,2,3,7,1,3,2,496,228,66,196500,10421,1,1,7,5
534176060,1972,2006,0,1,982,179,1,1381,0,1381,1,1,1,3,5,1,3,2,676,0,0,197500,9360,1,1,6,7
534202160,1966,1966,172,1,698,534,1,1232,0,1232,1,1,1,3,6,0,3,2,490,0,224,142250,9600,1,1,5,5
534251320,1963,1963,451,1,569,678,1,1328,0,1328,1,1,1,3,6,2,3,2,528,0,26,143000,9790,1,1,6,5
534276360,1959,1959,0,1,569,381,0,1225,0,1225,1,1,1,3,6,0,0,0,0,352,0,128950,9320,0,1,4,5
534401110,1966,1966,0,1,1059,150,2,1209,0,1209,1,0,1,3,6,0,3,2,504,0,0,159000,9900,1,1,5,5
534401140,1967,1967,268,1,1010,500,3,1510,0,1510,1,0,2,3,6,0,3,2,517,0,40,178900,9680,1,1,5,6
534403360,1964,1964,0,0,0,533,1,1131,644,1775,0,0,2,3,8,0,3,2,480,0,172,136300,10600,0,1,6,5
534403410,1964,1964,86,1,1014,138,1,1152,0,1152,1,0,1,3,6,1,3,2,484,227,0,180500,14112,0,1,5,7
534425310,1963,1963,156,1,763,173,3,1054,0,1054,1,0,1,3,6,0,3,2,480,120,0,137500,8800,1,1,6,7
534430080,1950,1996,0,1,49,0,2,1078,0,1078,1,0,1,2,5,0,3,1,240,366,0,142125,9717,1,1,5,6
534431050,1952,2002,265,1,670,470,2,1929,532,2461,0,0,2,3,7,2,1,2,400,0,0,197600,9724,1,1,5,7
534431070,1949,1950,340,1,300,482,1,1019,537,1556,0,0,2,3,6,1,3,2,470,0,0,172500,17360,1,1,6,6
534450180,1958,2008,0,1,696,162,2,858,0,858,1,0,1,2,4,0,0,0,0,117,0,116500,7207,0,1,5,7
534451150,1940,1966,0,0,0,728,3,1306,0,1306,0,0,1,3,6,0,0,0,0,263,0,76500,5350,0,1,3,2
534475100,1954,1954,110,1,354,412,1,1063,0,1063,1,0,1,3,6,0,3,1,280,0,0,128000,9920,1,1,5,5
534479320,1954,1954,200,1,540,728,2,1268,0,1268,0,0,1,2,7,1,3,1,244,0,98,132000,7800,1,1,5,6
535101020,1966,2008,216,1,944,136,2,1128,0,1128,1,0,1,2,5,1,3,1,315,238,0,178000,11380,0,1,6,8
535125010,1970,1989,287,1,912,1035,1,2207,0,2207,1,0,2,3,7,1,3,2,576,301,0,180000,19900,1,1,7,5
535126040,1966,2002,0,1,247,557,3,1888,0,1888,0,1,2,2,6,1,3,2,578,0,0,190000,16492,0,1,6,6
535152050,2003,2009,506,1,1188,292,3,1480,0,1480,1,0,2,3,7,0,3,2,620,252,73,214000,8197,1,1,7,5
535152130,1959,1959,150,1,856,125,1,1143,0,1143,1,0,1,3,6,0,3,1,308,0,0,136000,8050,0,1,5,5
535152150,1959,1959,0,1,1018,380,2,1700,0,1700,0,1,1,4,6,1,3,2,447,0,38,165500,10552,0,1,5,5
535152250,1957,1957,0,1,922,392,1,1314,0,1314,1,0,1,3,5,0,3,1,294,250,0,145000,8400,1,1,5,6
535153070,1959,1959,220,0,0,1194,1,1194,0,1194,1,0,1,3,6,0,3,1,312,0,0,148000,8760,1,1,6,6
535154050,1959,1959,180,1,1000,188,0,1188,0,1188,1,0,1,3,6,0,3,2,531,0,0,142000,12160,0,1,5,5
535175070,1960,1960,324,1,697,571,1,1264,0,1264,1,0,1,3,6,2,3,2,461,0,0,167500,9300,1,1,5,5
535175180,1959,1959,91,1,936,270,0,1206,0,1206,0,0,1,3,6,0,3,1,312,0,21,108538,10725,0,1,5,5
535179020,1959,1959,432,1,734,510,3,1580,0,1580,1,1,1,3,6,2,3,2,440,0,28,159500,10032,1,1,6,5
535180130,1956,1956,0,0,0,832,1,832,505,1337,0,0,1,3,5,0,3,1,263,0,0,108000,8382,1,1,4,5
535302080,1952,1952,0,1,339,525,1,1064,0,1064,0,0,1,2,4,0,1,1,318,0,0,135000,10950,1,1,5,7
535302200,1955,1955,0,1,648,324,1,972,0,972,0,0,1,3,5,0,3,1,305,0,0,122500,10895,1,1,5,6
535304060,1958,1958,0,1,532,456,1,988,0,988,1,0,1,2,5,0,3,1,264,0,0,119000,13587,1,1,5,5
535304180,1953,2007,0,1,731,326,1,1057,0,1057,1,0,1,3,5,0,1,1,246,0,52,109000,7922,1,1,5,7
535325400,1920,1994,0,0,0,576,2,985,0,985,0,0,1,2,4,0,1,2,676,0,0,105000,7898,1,1,4,7
535350030,1954,2003,104,1,320,404,2,1086,0,1086,1,0,1,3,6,0,3,2,490,0,0,144900,10200,1,1,5,7
535350040,1956,2000,0,1,248,448,3,936,0,936,1,0,1,2,4,0,3,1,308,0,0,129000,5868,1,1,5,7
535353190,1948,1950,0,0,0,912,1,912,546,1458,0,0,1,3,6,1,3,1,330,192,0,97500,17503,1,1,6,5
535401080,1959,2006,0,1,72,733,3,1287,0,1287,1,0,1,3,7,1,1,2,576,364,17,162000,9830,0,1,5,7
535425010,1967,2007,300,0,0,710,3,1898,1080,2978,0,1,2,5,11,1,2,2,564,240,0,242000,11275,1,1,7,7
535450210,1948,2004,0,1,481,161,1,816,408,1224,1,0,1,3,5,0,1,1,280,414,0,132000,8064,1,1,6,8
535453070,1959,1994,0,1,340,0,3,1246,0,1246,1,1,1,3,6,0,3,1,305,218,0,154000,7500,1,1,5,7
535454070,1952,1952,0,1,507,403,0,910,475,1385,0,0,2,4,6,0,1,2,720,0,0,166000,8520,1,1,5,4
535456110,1951,2000,0,1,234,180,1,900,0,900,0,0,1,3,5,0,1,2,576,222,32,134800,7200,1,1,5,7
535457010,1962,1962,261,0,0,1116,1,1116,0,1116,0,1,1,3,5,0,3,2,440,0,0,160000,10000,0,1,6,6
535457090,1960,1960,0,1,588,237,3,1175,0,1175,0,1,1,3,6,0,1,2,484,0,0,148000,7635,0,1,5,6
535476350,1963,1984,218,1,717,415,1,1395,0,1395,1,0,1,2,7,1,3,2,440,657,0,192000,9760,1,1,6,7
535477020,1966,1966,351,0,0,756,1,1051,788,1839,0,1,1,4,7,1,3,2,442,0,124,155000,7700,1,1,6,5
902104060,1910,2004,0,0,0,576,2,792,348,1140,0,0,1,3,7,0,0,0,0,0,160,96500,8800,1,1,4,7
902106130,1920,1950,0,1,579,357,1,936,0,936,1,0,1,2,5,1,0,0,0,51,0,109500,4485,1,1,5,7
902106140,1927,1950,0,0,0,1008,2,1028,0,1028,0,0,1,2,5,1,1,2,360,0,0,115000,8960,1,1,5,6
902110090,1957,1957,0,1,274,0,2,1347,0,1347,1,0,1,3,6,0,1,2,551,0,0,143000,5805,1,1,5,7
902125080,1915,1950,0,0,0,840,2,840,765,1605,0,0,2,3,8,0,1,1,379,0,0,107400,5790,1,1,3,6
902125160,1945,1950,0,0,0,747,1,747,0,747,0,0,1,2,4,0,3,1,220,0,0,80000,4608,1,1,4,6
902128170,1940,1992,294,1,510,278,1,804,0,804,1,0,1,2,4,2,3,1,240,0,0,119000,7200,1,1,5,7
902206040,1929,2001,0,1,234,0,1,926,0,1316,1,0,1,3,6,0,1,2,484,0,0,130000,5500,1,1,5,7
902206130,1938,2000,0,0,0,827,2,827,424,1251,0,0,1,3,6,0,1,1,240,0,0,119000,6900,1,1,6,7
902206220,1948,2009,0,1,780,247,3,1027,606,1633,0,0,1,3,7,1,1,1,240,0,100,129000,11851,1,1,5,7
902206240,1920,1962,0,1,176,832,1,1060,185,1245,0,0,1,3,6,0,1,1,315,0,0,100000,8239,1,1,5,6
902207130,1923,1970,0,0,0,678,1,832,0,832,0,0,1,2,5,1,1,2,780,0,0,12789,9656,1,1,2,2
902207140,1928,2003,0,0,0,624,2,720,0,720,0,0,1,2,5,0,1,2,484,106,0,105900,8520,1,1,6,8
902305110,1900,2003,0,0,0,930,1,930,636,1566,0,0,2,3,7,0,1,1,288,54,228,150000,9600,1,1,8,9
902327040,1915,1950,0,1,686,0,1,966,686,1652,1,0,2,4,7,0,1,1,416,0,0,139000,10800,1,1,5,6
902401060,1910,1950,0,0,0,840,0,1128,1128,2256,0,0,2,4,12,0,0,0,0,0,18,76500,9045,1,1,5,3
902402010,1957,1996,0,1,600,312,1,1236,0,1236,1,0,1,2,6,0,3,2,923,0,158,149700,7407,1,1,6,7
902402130,1910,1950,0,0,0,622,2,741,622,1363,0,0,1,3,6,0,1,2,528,0,0,125500,7740,1,1,4,7
902402250,1885,1950,0,0,0,777,2,1246,1044,2290,0,0,2,4,11,0,1,2,560,0,0,122500,11340,1,1,4,6
902403070,1922,1994,0,1,283,455,3,868,602,1470,0,1,1,2,6,0,1,2,624,0,0,140750,10560,1,1,6,7
903204040,1950,1997,0,1,788,200,3,1030,582,1612,0,1,1,3,7,0,1,1,363,0,0,128500,5830,1,1,5,6
903206120,1922,2005,0,1,474,634,1,1160,908,2068,0,1,1,3,8,1,1,1,315,0,0,209500,7793,0,1,7,7
903225150,1925,1950,0,1,188,577,1,765,0,765,1,0,1,2,4,0,1,1,200,135,0,87000,5000,1,1,4,7
903226160,1939,1950,0,1,452,144,1,608,524,1132,1,0,1,2,5,0,1,1,240,0,0,134000,6000,1,1,6,7
903227020,1940,1950,0,1,264,308,3,848,348,1196,0,1,1,3,6,2,1,2,576,0,0,128000,6000,1,1,6,6
903227150,1942,1950,300,1,360,316,1,955,498,1453,0,1,1,3,7,2,1,1,240,0,0,132000,6360,1,1,5,6
903228150,1948,1950,0,1,300,480,1,780,636,1416,0,1,1,3,6,0,1,1,312,221,0,139900,6000,1,1,6,7
903232190,1936,1980,0,1,276,252,2,548,492,1040,0,0,1,2,5,0,1,2,624,306,0,123900,6240,1,1,5,7
903233120,1930,1950,0,1,448,480,1,928,608,1536,0,0,2,4,7,1,1,2,480,0,10,138400,6240,1,1,5,5
903234050,1923,1950,0,1,960,164,1,1068,0,1068,1,0,1,2,5,1,1,1,288,0,0,109500,6120,1,1,6,5
903425110,1921,1950,0,0,0,576,2,902,808,1710,0,0,2,3,9,0,1,2,480,12,11,140000,10300,0,1,7,6
903426180,1915,1950,0,0,0,888,3,888,1074,1962,0,1,1,4,9,1,1,2,572,160,0,149500,8094,1,1,4,5
903426200,1912,2009,0,0,0,780,3,780,780,1560,0,1,1,3,7,0,0,0,0,344,0,159900,12900,1,1,6,8
903430080,1920,1993,0,0,0,662,3,662,662,1324,0,0,1,3,6,0,1,1,180,0,0,122000,3068,1,1,6,8
903476030,1900,1996,0,0,0,360,2,1032,780,1812,0,0,2,4,8,1,1,2,672,344,0,140000,7630,1,1,5,9
904100140,1940,1950,0,0,0,1032,3,1207,1196,2403,0,0,2,4,10,2,3,1,349,56,0,244400,24090,1,1,7,7
904101110,1959,1959,90,1,766,656,2,1675,0,1675,0,0,2,3,8,2,3,1,365,0,132,173000,15263,0,1,5,5
904300150,1917,1950,0,0,0,689,2,725,499,1224,0,1,1,3,6,0,1,1,180,0,0,107500,10632,0,1,5,3
904350045,1940,1950,0,1,368,232,3,600,319,919,0,0,1,3,5,0,1,1,231,0,0,95000,6001,0,1,6,5
904351040,1907,1950,0,1,73,634,1,942,942,1884,0,1,1,4,7,0,0,0,0,0,0,93369,6449,0,1,4,1
904352190,1910,1950,0,1,736,120,2,936,744,1680,1,0,2,2,7,1,1,2,450,56,144,114900,6048,1,1,5,7
905101100,1875,1996,0,0,0,780,2,780,240,1020,0,0,1,2,6,0,0,0,0,0,0,94000,6342,1,1,5,8
905102060,1965,1965,0,1,841,198,3,1039,0,1039,1,1,1,3,6,0,3,2,504,0,0,131500,11625,1,1,5,4
905103060,1957,1996,180,1,1302,90,1,1392,0,1392,1,1,1,3,5,1,1,2,528,0,0,121500,11341,0,1,5,6
905104210,1967,1967,0,1,842,70,1,912,0,912,0,0,1,3,5,1,1,1,336,0,0,125000,8521,1,1,5,5
905105070,1968,2001,0,1,188,204,3,1060,0,1060,1,0,1,3,6,1,3,1,270,406,90,154000,8246,0,1,5,8
905105200,1966,2008,47,1,240,150,3,892,0,892,1,0,1,3,5,0,1,1,416,0,0,137900,7800,1,1,5,7
905106140,1969,1969,143,1,371,292,1,663,689,1352,0,1,1,4,7,0,3,1,299,379,36,158000,9364,1,1,6,7
905106170,1968,1968,0,1,775,89,3,864,0,864,1,0,1,2,4,0,1,1,280,226,0,137250,7832,1,1,5,5
905107250,1968,1968,0,1,267,0,3,720,720,1440,0,1,1,4,7,2,3,2,480,192,38,163000,11227,1,1,5,5
905107320,1978,1978,328,1,438,234,1,672,714,1386,0,1,2,3,6,1,3,2,440,335,0,158900,11616,0,1,6,5
905109130,1996,1997,0,1,1201,105,3,1306,954,2260,1,1,2,3,7,0,3,2,533,296,44,328000,14000,1,1,7,5
905109170,1977,2001,0,1,1092,328,2,1483,0,1483,1,1,1,1,4,2,3,2,690,496,0,270000,20062,0,1,7,7
905201030,1927,1950,0,0,0,660,1,756,0,756,0,0,1,2,4,0,1,2,440,80,0,85000,9259,1,1,4,4
905202090,1950,1995,0,1,442,625,1,1067,0,1067,0,0,2,2,4,0,3,2,436,290,0,128000,9600,1,1,4,7
905352140,1978,1992,288,1,964,153,3,1117,864,1981,1,1,2,4,8,1,3,2,522,336,104,230000,17082,0,1,6,5
905378040,1938,1990,0,1,288,0,1,1052,558,1610,0,0,2,4,8,1,3,1,480,0,0,124000,18600,1,1,3,4
905426200,1950,1987,0,1,104,172,3,1074,0,1074,1,0,1,3,6,1,3,1,467,0,52,144500,11479,1,1,6,7
905451320,1956,1956,0,1,739,405,1,1144,0,1144,1,0,1,3,6,0,3,1,596,44,0,129000,9571,1,1,5,6
905452110,1947,1979,0,1,192,564,3,1169,0,1531,0,0,1,3,8,1,1,1,209,0,0,127000,9350,1,1,4,6
905452160,1954,1998,0,1,954,218,1,1172,0,1172,1,0,1,3,5,0,3,1,366,240,0,128000,9525,1,1,5,7
905453040,2009,2009,0,1,36,1176,3,1212,0,1212,0,0,2,3,6,0,3,2,460,100,22,186000,10420,1,1,6,5
905453080,2009,2010,96,1,1346,162,3,1508,0,1508,1,0,1,1,5,2,3,2,572,0,0,308030,17485,0,1,7,5
905475510,1964,1964,0,0,0,1250,3,1298,0,1298,0,0,2,3,5,0,1,2,504,0,144,114000,11200,0,1,5,3
